Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
Community Gaming - Seed,Seed,2021-07-01T00:00:00.000Z,CoinFund/Dapper Labs/Animoca Brands/Multicoin Capital,2300000,none,Creating a seamless experience for tournament organizers to host grassroots tournaments and for gamers to compete and instantly get paid when they win.,Chris Gonsalves/Evany Chang/Hayder Sharhan,https://communitygaming.io/,Community Gaming,Web3,Gaming,https://venturebeat.com/2021/07/01/community-gaming-raises-2-3m-for-automated-esports-tournaments-with-player-rewards/,none
Origin Protocol - Seed,Seed,2017-12-11T00:00:00.000Z,Pantera Capital/Visary Capital,3000000,none,A protocol for creating sharing economy marketplaces using the Ethereum blockchain and IPFS,Josh Fraser/Matthew Liu,https://www.originprotocol.com/,Origin Protocol,Infrastructure,Smart contracts/Marketplace,https://www.coindesk.com/pantera-invests-3-million-sharing-economy-token-origin/?utm_content=buffer1bead&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,none
Origin Protocol - Strategic,Strategic,2018-04-17T00:00:00.000Z,Sora Ventures/PreAngel Fund/One Block Capital/gumi Cryptos/Randall Kaplan/Gil Penchina/Oyster Ventures,28500000,none,A protocol for creating sharing economy marketplaces using the Ethereum blockchain and IPFS,Josh Fraser/Matthew Liu,https://www.originprotocol.com/,Origin Protocol,Infrastructure,Smart contracts/Marketplace,https://www.crowdfundinsider.com/2018/04/132581-origin-protocol-secures-28-5-million-through-strategic-round/,none
2TM Group - Series B,Series B,2021-07-01T00:00:00.000Z,SoftBank,200000000,2100000000," Creating an infrastructure to the financial market based on technology blockchain, ensuring efficiency and security in funding and investment operations",Mauricio Chamati/Gustavo Chamati,https://www.2tmgroup.com/,2TM Group,CeFi,Funding/Investment,https://www.ledgerinsights.com/softbank-invests-200-million-in-brazil-mercado-bitcoin-crypto-exchange/,none
Mercuryo - Series A,Series A,2021-06-25T00:00:00.000Z,Target Global,7500000,none,An international fintech company focused on providing cryptocurrency payment solutions,Alexander Vasiliev/Greg Waisman/Petr Kozyakov,https://mercuryo.io/,Mercuryo,CeFi,Payment,none,none
Mercuryo - Seed,Seed,2020-09-04T00:00:00.000Z,Target Global,2500000,none,An international fintech company focused on providing cryptocurrency payment solutions,Alexander Vasiliev/Greg Waisman/Petr Kozyakov,https://mercuryo.io/,Mercuryo,CeFi,Payment,none,none
DotOracle - Seed,Seed,2021-04-20T00:00:00.000Z,"HC Capital/Blocksync
  Ventures/Dutch
  Crypto Investors/Shima Capital/LD Capital/Kryptos/JRR  Capital/BIP32 Venture/Genblock Capital/Danish Chaudhry ",none,none,Realtime decentralized Oracle and Cross-chain liquidity network for Polkadot Ecosystem,Nguyen Bui,https://dotoracle.network/,DotOracle,Infrastructure,Oracle/Liquidity,none,none
Black Ocean - Seed,Seed,2021-03-17T00:00:00.000Z,"AKG Ventures/LD Capital/Consensus Lab/NGC Ventures/YBB
  Foundation/MEXC Exchange/FBG Capital/One Piece Capital/RedBlock Capital/Superchain Capital/ZBG Exchange/Bixin Ventures/Quest Capital",4300000,none,"Providing both a liquidity pool, as well as a dark pool service for institutional customers, along with market makers",Andrew Grachev,https://bo.market/,Black Ocean,DeFi,Liquidity,https://coinpedia.org/press-release/black-ocean-closed-institutional-financial-round/,none
Deri Protocol - Unknown,Unknown,2021-04-11T00:00:00.000Z,Bixin Ventures/FBG Capital/LD Capital/Black Range/CryptoDormFund/GSR/Kryptos/AKG Ventures,none,none,A decentralized protocol to exchange risk exposures precisely and capital-efficiently,0xAlpha,https://deri.finance/,Deri Protocol,DeFi,Risk management,https://twitter.com/DeriProtocol/status/1381200298056814592,none
DeXe - Strategic,Strategic,2020-09-12T00:00:00.000Z,Consensus Lab/Quest Capital/Chain Capital/Bitrise Capital/Nova Club/Waterdrip Capital/BN Capital,none,none,"An online, decentralized and autonomous cryptocurrency assets portfolio environment",Yuriy Hotoviy,https://dexe.network/,DeXe,DeFi,Portfolio management,https://medium.com/dexe-network/we-are-growing-new-dexe-strategic-partnerships-on-board-e8917be3534?source=---------67----------------------------,none
TokenInsight - Series A,Series A,2018-10-15T00:00:00.000Z,Matrix Partners/Draper Dragon/Fenbushi Capital/Susquehanna International Group,2000000,none,An independent third-party data analytics organization whose focus is to provide accurate information and ratings on companies developing in the blockchain industry,Tao Hu,https://tokeninsight.com/,TokenInsight,Web3,Analytics/Data,https://www.linkedin.com/pulse/tokeninsight-inc-secures-multi-million-dollar-investment-jason-ma/,none
EpiK Protocol - Strategic,Strategic,2021-04-08T00:00:00.000Z,"FBG Capital/Superchain Capital/Lancer
  Capital/Consensus Lab/Arcanum Capital/K24
  Ventures/CollinStar/Nebulas",3000000,none,Decentralized knowledge map storage project. Building an Everlasting Knowledge Vault. Broaden AI’s Horizons.,none,https://www.epik-protocol.io/,EpiK Protocol,Web3,AI,https://www.newsbtc.com/press-releases/epik-protocol-has-completed-its-strategic-fundraising-with-total-funding-amount-of-3m/,none
CoinMeet - Seed,Seed,2018-01-13T00:00:00.000Z,Node Capital/Hash Capital/Huobi Capital/BlockVC/CollinStar/ROOTSCAP/MI.VC,1000000,none,Building an inclusive blockchain ecosystem by integrating wallet and identity,none,https://coinmeet.io/,CoinMeet,Infrastructure,Wallet/Identity,none,none
CCFOX - Series A,Series A,2020-08-24T00:00:00.000Z,LD Capital/Superchain Capital/Consensus Lab/Quest Capital,none,none,Crypto derivatives trading platform forged by financial institution and stock market professionals for global traders,none,https://www.ccfox.com/,CCFOX,CeFi,Derivatives/Trading,https://www.linghecaijing.com/news-flash/4442.html,none
Mintable - Series A,Series A,2021-07-01T00:00:00.000Z,Ripple/Metapurse/Animoca Brands/Jon Oringer,13000000,none,"NFT marketplace where users can create, buy, and sell digital items ",Zach Burks,https://mintable.app/,Mintable,NFTs,Marketplace,https://mintable.medium.com/mintable-secures-us-13-million-in-series-a-funding-round-7a85e47ffb31,none
Animoca Brands - Unknown,Unknown,2021-07-01T00:00:00.000Z,"Coinbase Ventures/Gobi Partners/Liberty
  City Ventures/Token Bay Capital/Blue Pool Capital/Korea Investment Partners/Scopely/Krypital Group",50000000,none,Bringing digital property rights to video gamers and the Metaverse through the use of blockchain and non-fungible tokens (NFTs),Yat Siu,http://www.animocabrands.com/,Animoca Brands,NFTs,Metaverse/Gaming,https://www.animocabrands.com/animoca-brands-completes-usd138888888-capital-raise-with-second-tranche-of-usd50000000,none
Animoca Brands - Unknown,Unknown,2021-05-13T00:00:00.000Z,"SNZ Holding/Kingsway Capital/Metapurse/Liberty
  City Ventures/Huobi Capital/Hashkey Capital/RIT Capital Partners/Octava /LCV Capital Management/Ellerston Capital",88900000,none,Bringing digital property rights to video gamers and the Metaverse through the use of blockchain and non-fungible tokens (NFTs),Yat Siu,http://www.animocabrands.com/,Animoca Brands,NFTs,Metaverse/Gaming,none,none
SatoshiPay - Unknown,Unknown,2018-07-26T00:00:00.000Z,KR1/Blue Star Capital/Daniel Masters,566000,none,Connecting the world through instant payments,Meinhard Benn,https://satoshipay.io/,SatoshiPay,CeFi,Payment,http://www.fintech.finance/01-news/satoshipay-receives-e566000-investment-from-crypto-specialist-and-targets-london-ipo/,none
SatoshiPay - ,none,2020-05-28T00:00:00.000Z,Stellar Development Foundation,550000,none,Connecting the world through instant payments,Meinhard Benn,https://satoshipay.io/,SatoshiPay,CeFi,Payment,none,none
Hypermine - Series A,Series A,2021-04-01T00:00:00.000Z,"Twin Apex Capital/Solidity Ventures/Rarestone Capital/NGC Ventures/Moonwhale
  Ventures/Master
  Ventures/LD Capital/GBIC (Global Blockchain Innovative Capital)/ExNetwork Capital/Digital Finance Group",2000000,none,"Building smart tools and protocols for Identity, Privacy & Security, with our roots in Distributed Systems, Machine Learning & Cryptography",Irfan Khan/Vikram Anand Bhushan/Vishwas Bhushan,https://www.hypermine.in/,Hypermine,Infrastructure,Tooling/Identity/Privacy,none,none
DAOSquare - Unknown,Unknown,2021-04-22T00:00:00.000Z,"MetaCartel Ventures/Hashkey Capital/Alameda
  Research/NGC Ventures/CMS Holdings/Strategic Round Capital (SRC)/Pluto
  Digital Assets/LD Capital/Spark
  Digital Capital/LongHash Ventures/ArkStream Capital/Digital Finance Group/Hash
  Global/Zonff Partners/KuCoin Labs/HOT Labs/Crasolum/Peter Yuan Pan/Gate.io/YouBi Capital/GBV
  Capital/Diane Dai/BR Capital",none,none,"Incubator for Web3,  born in the MetaCartel community",Sherry Ye/Typto,https://www.daosquare.io/,DAOSquare,Web3,Incubator,https://www.theblockbeats.com/en/flash/32138,none
Crownyio - Seed,Seed,2021-04-09T00:00:00.000Z,"DAO Maker/Rarestone Capital/AU21 Capital/LD Capital/Twin Apex Capital/White Palm Ventures/PNYX
  Ventures/Genblock Capital/Savy Capital Partners",none,none,"Grants you access to personalised offers, rewards, exclusive discounts and loyalty points to use with your favourite brands",Quincy Dagelet,https://crowny.io/en/,Crownyio,Web3,Advertising/E-commerce,https://crowny.medium.com/crowny-closes-the-seed-round-days-after-the-formal-introduction-to-the-public-e3091b6bf321,none
Evanesco - Unknown,Unknown,2021-04-07T00:00:00.000Z,"BlockArk/Candaq/Cabin VC/Consensus Lab/Digital Finance Group/Gate.io/LD Capital/NGC Ventures/Q42 Capital/R8 Capital/Spark
  Digital Capital/PrimeBlock Ventures/AU21 Capital/Dealean
  Capital/HOT Labs/Blocksync
  Ventures/FBG Capital/ZB Labs/Krypital Group",none,none,A unique financial protocol platform in the Web3 ecosystem that combines Layer0 network infrastructure with a private computing framework,none,https://evanesco.org/,Evanesco,Infrastructure,Privacy,https://evanesco-networks.medium.com/evanesco-has-officially-launched-financing-and-institutions-such-as-block-dream-fund-blockark-1f1c1e6692a0,none
Metis - Unknown,Unknown,2021-05-10T00:00:00.000Z,"Digital Finance Group/Master
  Ventures/Parsiq/Autonomy Capital/Genblock Capital/Cryptomeria Capital/Waterdrip Capital/Kernel Ventures/AU21 Capital/Consensus Lab/Momentum
  6/YBB
  Foundation/Chain Capital/AC
  Capital/Oasis
  Capital/Titan
  Ventures/Lotus Capital",5000000,none,Layer 2 framework to run Decentralized Companies (DACs),Elena Sinelnikova,https://www.metis.io/,Metis,Web3,Layer 2/DAO,https://www.investing.com/news/cryptocurrency-news/ethereum-layer-2-protocol-metis-raises-5m-funds-in-total-2501217,none
Nabox - Unknown,Unknown,2021-05-11T00:00:00.000Z,"LD Capital/PrimeBlock Ventures/Scorpio VC/CatcherVC/AC
  Capital/Damo Labs",none,none,A digital identity box for Web 3.0 applications,Ang Kang Wei,https://nabox.io/,Nabox,Web3,Identity/Wallet,https://www.theblockbeats.com/en/flash/34178,none
OVEX - Strategic,Strategic,2021-03-31T00:00:00.000Z,"Alameda
  Research",4000000,none,A Cape Town based South African digital asset exchange and OTC trading desk,Jonathan Ovadi,https://www.ovex.io/,OVEX,CeFi,Brokerage/Trading/Exchange,https://www.theblockcrypto.com/post/99956/crypto-prime-broker-ovex-raises-4-million-alameda,none
Egoras - Unknown,Unknown,2021-04-03T00:00:00.000Z,"ExNetwork Capital/BlackDragon Capital/Three M Capital/Spyke
  Fast/QuiverX Capital/Infinity Gainz",1300000,none,Providing uncollateralised micro-credit to small entrepreneurs,Ugoji Harry,https://egoras.com/,Egoras,CeFi,Microcredit,https://cointelegraph.com/press-releases/egoras-raises-13m-in-private-round,none
Blockcap - Unknown,Unknown,2021-03-31T00:00:00.000Z,Off The Chain Capital/Foundry Digital/Solon Mack Capital,75000000,none,A blockchain eco-conscious infrastructure designed to facilitate secure cryptocurrency mining,Darin Feinstein,https://www.blockcap.com/,Blockcap,Infrastructure,Mining,https://cointelegraph.com/news/bitcoin-miner-blockcap-closes-75m-investment-led-by-off-the-chain-foundry-digital,none
Atani - Seed,Seed,2021-06-04T00:00:00.000Z,JME Ventures/Encomenda VC/Conexo Ventures/Lanai Partners,6250000,none,"The one-stop crypto trading platform: trading on 20+ exchanges, integrates technical analysis tools and automates tax reporting",Paul Barroso/Haydee Barroso,https://atani.com/,Atani,CeFi,Trading,https://u.today/crypto-trading-terminal-atani-raises-625-million-in-seed-funding,none
Pandora Protocol - Seed,Seed,2021-05-31T00:00:00.000Z,"GBV
  Capital/Zokyo/AU21 Capital/X21 Digital/NGC Ventures/Master
  Ventures/ExNetwork Capital/Spark
  Digital Capital/Amesten Capital/Chain Assets Capital/CryptoDormFund/Genblock Capital/A195 Capital/Bitcoin.com/Protocol Ventures/Magnus Capital/Danish Chaudhari",2400000,none,A hybrid Open Finance solution for problems faced by both traditional finance and decentralised finance,Pushkarr Vohra,https://pandora.finance/,Pandora Protocol,DeFi,Real world assets/Tokenization,https://medium.com/pandoraprotocol/pandora-protocol-raises-2-4m-edf3beab35b3,none
Tranchess - Seed,Seed,2021-07-05T00:00:00.000Z,Spartan Group/Three Arrows Capital/LongHash Ventures/Binance Labs/IMO Ventures,1500000,none,A tokenized Asset Management and derivatives trading protocol,Danny Chong,https://tranchess.com/,Tranchess,DeFi,Trading/Derivatives/Asset management,https://www.coindesk.com/tranchess-defi-seed-funding-three-arrows-capital-spartan-group,none
BullPerks - Seed,Seed,2021-05-31T00:00:00.000Z,"X21 Digital/GD10
  Ventures/Shima Capital/AU21 Capital/Alphabit Digital Currency Fund/Genblock Capital/Skynet Trading/Blocksync
  Ventures/Moonwhale
  Ventures/Sora Ventures/Faculty
  Capital/Three M Capital/Dutch
  Crypto Investors/BTA Ventures",1800000,none, A fair and community dedicated decentralized VC and Launchpad,Eran Elhanani/Constantin Kogan,https://bullperks.com/,BullPerks,DeFi,Launchpad,https://www.newsbtc.com/news/company/bullperks-successfully-ended-private-funding-round-raising-1-8m/,none
EmiSwap - Seed,Seed,2021-06-02T00:00:00.000Z,Inclusion Crypto Fund/Carl Moon/ExNetwork Capital/Box Mining/Hodl.Global,1380000,none,A community-governed decentralized exchange (DEX),Grigory Rybalchenko,https://emiswap.com/,EmiSwap,DeFi,DEX/AMM,https://cointelegraph.com/news/community-governed-dex-emiswap-raises-104m-in-private-funding,none
Reach - Unknown,Unknown,2021-05-26T00:00:00.000Z,none,12000000,48000000,A development platform enabling any developer to build decentralized applications,Chris Swenor,https://reach.sh/,Reach,Infrastructure,DApp,https://www.prnewswire.com/news-releases/reach-raises-12-million-to-simplify-blockchain-development-and-unlock-the-next-generation-of-decentralized-applications-301299493.html,none
SportsIcon - Unknown,Unknown,2021-04-22T00:00:00.000Z,Roham Gharegozlou/Nas/Nihal Mehta/Andrew Bogut,none,none,"Athlete curated insights into pivotal moments of their journey through immersive, artistic, inspirational NFTs, unlockable content and community",Chris Worsey,https://sportsicon.co/,SportsIcon,NFTs,Sports,none,none
Moma Protocol - Seed,Seed,2021-05-06T00:00:00.000Z,"AU21 Capital/Blocksync
  Ventures/BuildingBlocks/Digital Finance Group/FBG Capital/Finlink/Lotus Capital/Magnus Capital/Moonrock Capital/Fundamental Labs/SevenX Ventures/Zee
  Prime Capital/Coins Group/Spark
  Digital Capital/Waterdrip Capital",2250000,none,"A proprietary solution to meet the growing demands for liquidity, scalability and speculation in DeFi lending markets",Ocean Liao,https://moma.finance/,Moma Protocol,DeFi,Lending/Borrowing/Liquidity,https://coinmarketcap.com/headlines/news/moma-protocol-raises-2-25m-to-create-infinite-liquidity-market-for-defi-lending/,none
Streami - Unknown,Unknown,2021-05-06T00:00:00.000Z,Digital Currency Group,none,none,Blockchain financial market infrastructure technology company operating Gofax (​Cryptocurrency Exchange) and Dask (Cryptocurrency Depository).,Junhaeng Lee,https://www.streami.co/,Streami,CeFi,Exchange,https://cointelegraph.com/news/digital-currency-group-backs-south-korean-crypto-exchange-operator,none
Plutus - Unknown,Unknown,2021-05-05T00:00:00.000Z,Alphabit Digital Currency Fund,5000000,none,"Allowing members to manage, exchange, spend and earn assets; all under one intuitive application.",Danial Daychopan/Jasper Tay,https://plutus.it/,Plutus,CeFi,Banking,https://medium.com/plutus/plutus-raises-5-million-from-alphabit-fund-61b52500a578,none
Bling - Seed,Seed,2021-07-02T00:00:00.000Z,Coinbase Ventures,none,none,A platform that enables game developers to offer Bitcoin rewards,Amy Wan/Dan Rice,https://www.blingfi.com/,Bling,Web3,Gaming,https://www.crowdfundinsider.com/2021/07/177396-bling-seed-round-backed-by-coinbase-ventures-ceo-amy-wan-we-are-working-on-other-financial-services/,none
IAGON - Unknown,Unknown,2021-06-30T00:00:00.000Z,AU21 Capital/LedgerLink Labs/Blockchain Israel/Kirin Fund,3400000,none,Decentralized cloud computing that scales at the speed of the future,Navjit Dhaliwal,https://iagon.com/,IAGON,Web3,Cloud,https://coinmarketcap.com/headlines/news/iagon-raises-millions-to-bring-big-data-to-cardano/,none
Calaxy - Unknown,Unknown,2021-07-01T00:00:00.000Z,"Animoca Brands/Red Beard Ventures/ArkStream Capital/NGC Ventures/GBV
  Capital/Ezekiel Elliott/Matt James/Luke Walton/Jonathan Padilla/Larry Ogunjobi",7500000,none,"The open social marketplace for creators, by creators",Solo Ceesay/Spencer Dinwiddie,https://www.calaxy.com/,Calaxy,Web3,Marketplace/Social token/Social network,https://www.coindesk.com/spencer-dinwiddies-crypto-app-for-creators-raises-7-5m,none
Dexlab - Unknown,Unknown,2021-07-01T00:00:00.000Z,"Parataxis Capital/GBV
  Capital/CMS Holdings/NGC Ventures/LedgerPrime/Bixin Ventures/Digital Finance Group/Sonic Capital/Evernew
  Capital/Genblock Capital/ROK Capital/Dragon Roark Venture/499
  Block/Cryptomeria Capital/Axia8
  Ventures/Petrock Capital/Momentum
  6",1440000,none,"Making launching on Solana easy with a minting lab, a launchpad and a dedicated DEX for all listings",Dennis Lee,https://www.dexlab.space/,Dexlab,DeFi,Launchpad/DEX,https://coinquora.com/dexlab-raises-1-44m-for-solana-gateway-and-token-launchpad/,none
AID:Tech - Series A,Series A,2021-06-30T00:00:00.000Z,Affinidi/Josue Estrada/Nakhla VC/Richard Wang,3500000,none,Enabling fast and instant disbursements via Digital ID,Joseph Thompson/Niall Dennehy,https://aid.technology/,AID:Tech,Infrastructure,Identity,https://technode.global/2021/07/01/blockchain-fintech-aidtech-raises-3-5m-series-a-funding-led-by-affinidi-will-focus-on-growth-and-scale-in-southeast-asia/,none
Award Pool - Seed,Seed,2021-06-29T00:00:00.000Z,Jez San/Flori Ventures/Equivesto/FunFair Technologies,2300000,none,NFT engagement for the digital generation,Reuven Cohen,https://awardpool.com/,Award Pool,NFTs,Gaming,https://www.globenewswire.com/news-release/2021/06/29/2255138/0/en/CANADIAN-STARTUP-SECURES-2-8-MILLION-CAD-IN-FUNDING-TO-REIMAGINE-NFT-BASED-CHALLENGES-REWARDS.html,none
Longenesis - Seed,Seed,2021-06-25T00:00:00.000Z,Garri Zmudze/Ilya Suharenko/Rustam Gilfanov,1000000,none,"Advanced life data escrow with blockchain and AI powered for security, traceability and smart data management",Garri Zmudze,http://longenesis.com/,Longenesis,Infrastructure,AI/Data,none,none
Nuri - Series B,Series B,2021-06-27T00:00:00.000Z,DIP Capital/Coparion,10600000,none,Enabling to grow your money by investing in cryptocurrencies and earn up to 5% per year on your bitcoin — all from a free German bank account,Benjamin Jones/Jan Goslicki/Jorg von Minckwitz,https://nuri.com/,Nuri,CeFi,Savings,https://thepaypers.com/cryptocurrencies/nuri-raises-eur-9-mln--1250070?utm_source=dlvr.it&utm_medium=twitter,none
Argo Blockchain - Post-IPO Debt,Post-IPO Debt,2021-06-29T00:00:00.000Z,Galaxy Digital,33000000,none,A publicly-traded blockchain technology company focused on large-scale cryptocurrency mining,Mike Edwards/Peter Wall,http://www.argoblockchain.com/,Argo Blockchain,Infrastructure,Mining,https://www.coindesk.com/argo-blockchain-secures-20m-bitcoin-backed-loan-agreement-to-expand-texas-data-center,none
Automata Network - Strategic,Strategic,2021-05-31T00:00:00.000Z,"KR1/IOSG Ventures/Jump
  Trading",2400000,none,"A decentralized service protocol that aims to bolster the privacy, assurance, and capabilities of decentralized applications",Deli Gong,https://www.ata.network/,Automata Network,Infrastructure,Privacy,https://medium.com/atanetwork/automata-announces-usd-2-4-million-raise-b0acc095ad98,none
Refinable - Unknown,Unknown,2021-04-06T00:00:00.000Z,Binance Labs/Mr. Beast,none,none,One of the First NFT marketplace on Binance Smart Chain,Nicholas Chan,https://app.refinable.com/,Refinable,NFTs,Marketplace,https://cointelegraph.com/press-releases/binance-and-mr-beast-invest-in-refinable-bscs-first-nft-marketplace,none
StormX - Strategic,Strategic,2021-04-01T00:00:00.000Z,Anthony Di Iorio/TLDR Capital/GBIC (Global Blockchain Innovative Capital)/Crosschain Capital/Walden Bridge Capital/Alchemist Blockchain/ChainRock,none,none,Gamified microtask platform creates opportunities for people around the world to earn cryptocurrency rewards,Simon Yu,https://stormx.io/,StormX,CeFi,Gaming/Cashback,https://coinquora.com/stormx-ceo-simon-yu-confirms-new-strategic-investors/,none
Quadrant Protocol - Unknown,Unknown,2018-07-12T00:00:00.000Z,Obsidian Capital,15000000,none,"A Blockchain protocol that enables the access, creation, and distribution of data",Mike Davie,https://www.quadrantprotocol.com/,Quadrant Protocol,Infrastructure,Data,https://e27.co/blockchain-company-quadrant-protocol-raises-funding-zeroth-ai-coin-capital-20180712/?utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1531378049,none
QuarkChain - Unknown,Unknown,2018-03-30T00:00:00.000Z,Chain Capital,20000000,none," A flexible, scalable, and user-oriented blockchain infrastructure by applying blockchain sharding technology",Qi Zhou,https://quarkchain.io/,QuarkChain,Infrastructure,Layer 1/Sharding,https://quarkchain.io/,none
AirSwap - Unknown,Unknown,2017-10-10T00:00:00.000Z,George Burke,36000000,none,Powering peer-to-peer trading,Don Mosites/Michael Oved,https://www.airswap.io/,AirSwap,CeFi,Trading,none,none
Flexa - Unknown,Unknown,2020-12-21T00:00:00.000Z,Robot Ventures/Barry Sternlicht/Volkert Doeksen/Douwe Lycklama,6000000,none,"Offering a fast, fraud-proof payments network",Daniel C. McCabe/Trevor Filter/Tyler Spalding/Zachary Kilgore,https://flexa.network/,Flexa,CeFi,Payment,https://www.coindesk.com/crypto-payment-app-flexa-raises-6m-unveils-new-backend,none
HydraDX - Strategic,Strategic,2020-12-22T00:00:00.000Z,KR1/Hypersphere Ventures/CMS Holdings/Tenzor Capital/DFG (Dynamic Fintech Group),none,none,Cross-chain liquidity protocol built on Substrate,Mattia Gagliardi,https://hydradx.io/,HydraDX,DeFi,Liquidity,https://hydradx.substack.com/p/intro-to-hydradx-pt3,none
CoinDCX - Series B,Series B,2020-12-22T00:00:00.000Z,"Coinbase Ventures/Polychain Capital/Block.One/Temasek/Jump
  Trading/Uncorrelated Ventures/Mehta Ventures/Alexander Pack",14000000,none,Indian company specialized in crypto-enabled financial services,Sumit Gupta,https://coindcx.com/,CoinDCX,CeFi,Exchange,https://cointelegraph.com/news/indian-crypto-exchange-coindcx-raises-14m-in-its-third-round-in-2020,none
Conio - Series B,Series B,2020-12-15T00:00:00.000Z,Banca Generali,14000000,none,"Helping you understand and handle Bitcoin. The Conio Bitcoin Wallet lets you buy, sell and keep Bitcoins safe",Christian Miccoli/Vincenzo Di Nicola,https://www.conio.com/,Conio,CeFi,Wallet/Custody,https://www.coindesk.com/banca-generali-leads-14m-round-in-italian-crypto-custody-firm-conio,none
Safello - Pre-IPO,Pre-IPO,2020-12-18T00:00:00.000Z,Digital Currency Group/Northzone/White Star Capital/Techstars,1300000,none,Operating a bitcoin exchange and related services in the European market,Frank Schuil,https://safello.com/,Safello,CeFi,Exchange,https://www.coindesk.com/bitcoin-exchange-safello-raises-1-3m-ipo-2021,none
AlgoTrader - Series A,Series A,2020-12-14T00:00:00.000Z,EOS VC Fund/Verve Ventures/Blockchain Valley Ventures/NeueCapital/Credit Suisse Entrepreneur Capital,5600000,none,An institutional-grade algorithmic trading software solution available for crypto markets,Andy Flury,http://www.algotrader.com/,AlgoTrader,CeFi,Trading,https://www.cryptoninjas.net/2020/12/14/algotraders-series-a-raise-reaches-over-chf-5m-with-investment-from-finlab-eos-vc-fund/,none
CherrySwap - Strategic,Strategic,2021-03-18T00:00:00.000Z,none,3000000,none,Automatic market-making protocol based on OKExChain,none,https://www.cherryswap.net/,CherrySwap,DeFi,AMM,https://ambcrypto.com/next-gen-defi-platform-cherryswap-announces-3m-funding-listing-on-okexchain/,none
MintGreen - Unknown,Unknown,2021-03-17T00:00:00.000Z,CoinShares/Meltem Demirors/Rus Newton/Peter Poka/Oscar Plag/Michael Kordyback/Matjažek Horne/Kevin Shaw,none,none,A CleanTech company using bitcoin mining to monetize heat generation,Colin Sullivan/Kurt Melnychuk/Jennifer Zee,https://mintgreen.co/,MintGreen,Infrastructure,Mining/Environment,https://cointelegraph.com/news/bitcoin-mine-heat-recycling-firm-mintgreen-closes-seed-round-led-by-coinshares,none
GamyFi - Seed,Seed,2021-03-17T00:00:00.000Z,"Spark
  Digital Capital/AU21 Capital/LD Capital/Momentum
  6/AngelOne/Infinity Labs/499
  Block/UNITY Capital/Oasis
  Capital/YBB
  Foundation/Ternary Capital/Incuba
  Alpha Labs/Searchlight Capital/BK Capital/Kardia Ventures/BitMart",1000000,none, A community governed fantasy Sports and NFT gaming platform,Rahul P.,https://gamyfi.org/,GamyFi,NFTs,Sports/Gaming,https://cryptodaily.co.uk/2021/03/gamyfi-seed-and0private-investment,none
Dibbs - Seed,Seed,2020-10-15T00:00:00.000Z,Courtside Ventures/Founder Collective/JDS Sports/Will Ahmed/Nat Turner,2800000,none,Allowing users to trade fractional interests in sports cards in real time,Evan Vandenberg,https://dibbs.io/,Dibbs,NFTs,Sports/Trading/Collectibles,https://www.forbes.com/sites/brettknight/2021/03/23/dibbs-sports-cards-nft-seed-funding/?sh=1e21e88a4c78,none
Farmer Connect - Series A,Series A,2021-03-16T00:00:00.000Z,ITOCHU/Sucafina,7500000,none,An AgTech scaleup that provides software to help smallholder farmers connect digitally to the agriculture supply chain,none,https://www.farmerconnect.com/,Farmer Connect,Infrastructure,Supply chain,https://cryptodaily.co.uk/2021/03/Blockchain-Food-Traceability-App-Raises-9m-In-Funding-Round-Led-By-ITOCHU,none
Capsule - Seed,Seed,2021-04-12T00:00:00.000Z,Polychain Capital/Fyrfly Venture Partners,2500000,none,Decentralized discourse,Nadim Kobeissi,https://capsule.social/,Capsule,Web3,Social network,https://www.cryptoninjas.net/2021/03/09/beacon-fund-leads-1-5m-round-in-decentralized-social-media-app-capsule/,none
Capsule - Pre-Seed,Pre-Seed,2021-01-18T00:00:00.000Z,Castle Island Ventures/Balaji Srinivasan/Wamda Capital,125000,none,Decentralized discourse,Nadim Kobeissi,https://capsule.social/,Capsule,Web3,Social network,https://techcrunch.com/2021/01/18/cryptocat-author-gets-insanely-fast-backing-to-build-p2p-tech-for-social-media/,none
ClimateTrade - Seed,Seed,2020-12-02T00:00:00.000Z,Borderless Capital,1000000,none,"Helping your company fulfill its most ambitious carbon offsetting commitments, empowering your sustainability strategy with our innovative digital solutions.",Francisco Benedito,https://climatetrade.com/,ClimateTrade,Infrastructure,Environment/Marketplace,https://www.algorand.com/resources/news/climatetrade-announces-algorand-partnership,none
Index Coop - Treasury Diversification,Treasury Diversification,2021-07-06T00:00:00.000Z,1kx/Galaxy Digital/1confirmation/DeFiance Capital/LD Capital/Wintermute/Laconia Ventures/Assembly Capital Partners/Phil DiIorio,7750000,none,A global community that will launch and maintain the world’s best crypto index vehicles,Simon Judd,https://www.indexcoop.com/,Index Coop,DeFi,Index,https://medium.com/indexcoop/the-index-cooperative-completes-7-7m-treasury-diversification-led-by-galaxy-digital-1kx-4e481166b81f,none
